trial_id,study,trial_type,item,source_adverb_type,negation_position,condition,first_clause,continuation_prompt,stimulus,first_clause_en,continuation_prompt_en,stimulus_en
pre_i01_ideophone_first_clause,preliminary_completion,experimental,1,ideophone,first_clause,ideophone__neg_first_clause,Adam odasında horul horul uyumadı,______ uyudu,"Adam odasında horul horul uyumadı, ______ uyudu.",The man did not sleep in his room huffing and puffing,he slept ______,"The man did not sleep in his room huffing and puffing, he slept ______."
pre_i01_manner_first_clause,preliminary_completion,experimental,1,manner,first_clause,manner__neg_first_clause,Adam odasında güçlükle uyumadı,_____ uyudu,"Adam odasında güçlükle uyumadı, _____ uyudu.",The man did not sleep in his room with difficulty,he slept ______,"The man did not sleep in his room with difficulty, he slept ______."
pre_i01_temporal_first_clause,preliminary_completion,experimental,1,temporal,first_clause,temporal__neg_first_clause,Adam odasında sabah uyumadı,_____ uyudu,"Adam odasında sabah uyumadı, _____ uyudu.",The man did not sleep in his room in the morning,he slept ______,"The man did not sleep in his room in the morning, he slept ______."
pre_i02_ideophone_first_clause,preliminary_completion,experimental,2,ideophone,first_clause,ideophone__neg_first_clause,At arabası toprak yolda tıngır tıngır ilerlemedi,______ ilerledi,"At arabası toprak yolda tıngır tıngır ilerlemedi, ______ ilerledi.",The horse cart did not move on the dirt road rattling,it moved _____,"The horse cart did not move on the dirt road rattling, it moved _____."
pre_i02_manner_first_clause,preliminary_completion,experimental,2,manner,first_clause,manner__neg_first_clause,At arabası toprak yolda hızla ilerlemedi,______ ilerledi,"At arabası toprak yolda hızla ilerlemedi, ______ ilerledi.",The horse cart did not move on the dirt road fast,it moved _____,"The horse cart did not move on the dirt road fast, it moved _____."
pre_i02_temporal_first_clause,preliminary_completion,experimental,2,temporal,first_clause,temporal__neg_first_clause,At arabası toprak yolda akşam vakti ilerlemedi,______ ilerledi,"At arabası toprak yolda akşam vakti ilerlemedi, ______ ilerledi.",The horse cart did not move on the dirt road in the evening,it moved _____,"The horse cart did not move on the dirt road in the evening, it moved _____."
pre_i03_ideophone_first_clause,preliminary_completion,experimental,3,ideophone,first_clause,ideophone__neg_first_clause,Su ocakta fokur fokur kaynamadı,_____ kaynadı,"Su ocakta fokur fokur kaynamadı, _____ kaynadı.",The water did not boil on the stove bubbling,it boiled _____,"The water did not boil on the stove bubbling, it boiled _____."
pre_i03_manner_first_clause,preliminary_completion,experimental,3,manner,first_clause,manner__neg_first_clause,Su ocakta çabucak kaynamadı,_____ kaynadı,"Su ocakta çabucak kaynamadı, _____ kaynadı.",The water did not boil on the stove quickly,it boiled _____,"The water did not boil on the stove quickly, it boiled _____."
pre_i03_temporal_first_clause,preliminary_completion,experimental,3,temporal,first_clause,temporal__neg_first_clause,Su ocakta biraz önce kaynamadı,_____ kaynadı,"Su ocakta biraz önce kaynamadı, _____ kaynadı.",The water did not boil on the stove a little while ago,it boiled _____,"The water did not boil on the stove a little while ago, it boiled _____."
pre_i04_ideophone_first_clause,preliminary_completion,experimental,4,ideophone,first_clause,ideophone__neg_first_clause,Oğlan okulda zırıl zırıl ağlamadı,_____ ağladı,"Oğlan okulda zırıl zırıl ağlamadı, _____ ağladı.",The boy did not cry in the school sobbing,he cried _____,"The boy did not cry in the school sobbing, he cried _____."
pre_i04_manner_first_clause,preliminary_completion,experimental,4,manner,first_clause,manner__neg_first_clause,Oğlan okulda sessizce ağlamadı,_____ ağladı,"Oğlan okulda sessizce ağlamadı, _____ ağladı.",The boy did not cry in the school silently,he cried _____,"The boy did not cry in the school silently, he cried _____."
pre_i04_temporal_first_clause,preliminary_completion,experimental,4,temporal,first_clause,temporal__neg_first_clause,Oğlan okulda dün ağlamadı,_____ ağladı,"Oğlan okulda dün ağlamadı, _____ ağladı.",The boy did not cry in the school yesterday,he cried _____,"The boy did not cry in the school yesterday, he cried _____."
pre_i05_ideophone_first_clause,preliminary_completion,experimental,5,ideophone,first_clause,ideophone__neg_first_clause,Öğrenci sınıfta fısır fısır konuşmadı,_____ konuştu,"Öğrenci sınıfta fısır fısır konuşmadı, _____ konuştu.",The student did not talk in the classroom murmuring,she talked _____,"The student did not talk in the classroom murmuring, she talked _____."
pre_i05_manner_first_clause,preliminary_completion,experimental,5,manner,first_clause,manner__neg_first_clause,Öğrenci sınıfta sessizce konuşmadı,_____ konuştu,"Öğrenci sınıfta sessizce konuşmadı, _____ konuştu.",The student did not talk in the classroom silently,she talked _____,"The student did not talk in the classroom silently, she talked _____."
pre_i05_temporal_first_clause,preliminary_completion,experimental,5,temporal,first_clause,temporal__neg_first_clause,Öğrenci sınıfta dersten önce konuşmadı,_____ konuştu,"Öğrenci sınıfta dersten önce konuşmadı, _____ konuştu.",The student did not talk in the classroom before the lecture,she talked _____,"The student did not talk in the classroom before the lecture, she talked _____."
pre_i06_ideophone_first_clause,preliminary_completion,experimental,6,ideophone,first_clause,ideophone__neg_first_clause,Tekne denizin ortasında cayır cayır yanmadı,_____ yandı,"Tekne denizin ortasında cayır cayır yanmadı, _____ yandı.",The boat did not burn in the middle of the sea fiercely,it burned _____,"The boat did not burn in the middle of the sea fiercely, it burned _____."
pre_i06_manner_first_clause,preliminary_completion,experimental,6,manner,first_clause,manner__neg_first_clause,Tekne denizin ortasında aniden yanmadı,_____ yandı,"Tekne denizin ortasında aniden yanmadı, _____ yandı.",The boat did not burn in the middle of the sea suddenly,it burned _____,"The boat did not burn in the middle of the sea suddenly, it burned _____."
pre_i06_temporal_first_clause,preliminary_completion,experimental,6,temporal,first_clause,temporal__neg_first_clause,Tekne denizin ortasında iki gün önce yanmadı,_____ yandı,"Tekne denizin ortasında iki gün önce yanmadı, _____ yandı.",The boat did not burn in the middle of the sea two days ago,it burned _____,"The boat did not burn in the middle of the sea two days ago, it burned _____."
pre_i01_ideophone_continuation,preliminary_completion,experimental,1,ideophone,continuation,ideophone__neg_continuation,Adam odasında horul horul uyudu,______ uyumadı,"Adam odasında horul horul uyudu, ______ uyumadı.",The man slept in his room huffing and puffing,he did not sleep ______,"The man slept in his room huffing and puffing, he did not sleep ______."
pre_i01_manner_continuation,preliminary_completion,experimental,1,manner,continuation,manner__neg_continuation,Adam odasında güçlükle uyudu,_____ uyumadı,"Adam odasında güçlükle uyudu, _____ uyumadı.",The man slept in his room with difficulty,he did not sleep ______,"The man slept in his room with difficulty, he did not sleep ______."
pre_i01_temporal_continuation,preliminary_completion,experimental,1,temporal,continuation,temporal__neg_continuation,Adam odasında sabah uyudu,_____ uyumadı,"Adam odasında sabah uyudu, _____ uyumadı.",The man slept in his room in the morning,he did not sleep ______,"The man slept in his room in the morning, he did not sleep ______."
pre_i02_ideophone_continuation,preliminary_completion,experimental,2,ideophone,continuation,ideophone__neg_continuation,At arabası toprak yolda tıngır tıngır ilerledi,______ ilerlemedi,"At arabası toprak yolda tıngır tıngır ilerledi, ______ ilerlemedi.",The horse cart moved on the dirt road rattling,it did not move _____,"The horse cart moved on the dirt road rattling, it did not move _____."
pre_i02_manner_continuation,preliminary_completion,experimental,2,manner,continuation,manner__neg_continuation,At arabası toprak yolda hızla ilerledi,______ ilerlemedi,"At arabası toprak yolda hızla ilerledi, ______ ilerlemedi.",The horse cart moved on the dirt road fast,it did not move _____,"The horse cart moved on the dirt road fast, it did not move _____."
pre_i02_temporal_continuation,preliminary_completion,experimental,2,temporal,continuation,temporal__neg_continuation,At arabası toprak yolda akşam vakti ilerledi,______ ilerlemedi,"At arabası toprak yolda akşam vakti ilerledi, ______ ilerlemedi.",The horse cart moved on the dirt road in the evening,it did not move _____,"The horse cart moved on the dirt road in the evening, it did not move _____."
pre_i03_ideophone_continuation,preliminary_completion,experimental,3,ideophone,continuation,ideophone__neg_continuation,Su ocakta fokur fokur kaynadı,_____ kaynamadı,"Su ocakta fokur fokur kaynadı, _____ kaynamadı.",The water boiled on the stove bubbling,it did not boil _____,"The water boiled on the stove bubbling, it did not boil _____."
pre_i03_manner_continuation,preliminary_completion,experimental,3,manner,continuation,manner__neg_continuation,Su ocakta çabucak kaynadı,_____ kaynamadı,"Su ocakta çabucak kaynadı, _____ kaynamadı.",The water boiled on the stove quickly,it did not boil _____,"The water boiled on the stove quickly, it did not boil _____."
pre_i03_temporal_continuation,preliminary_completion,experimental,3,temporal,continuation,temporal__neg_continuation,Su ocakta biraz önce kaynadı,_____ kaynamadı,"Su ocakta biraz önce kaynadı, _____ kaynamadı.",The water boiled on the stove a little while ago,it did not boil _____,"The water boiled on the stove a little while ago, it did not boil _____."
pre_i04_ideophone_continuation,preliminary_completion,experimental,4,ideophone,continuation,ideophone__neg_continuation,Oğlan okulda zırıl zırıl ağladı,_____ ağlamadı,"Oğlan okulda zırıl zırıl ağladı, _____ ağlamadı.",The boy cried in the school sobbing,he did not cry _____,"The boy cried in the school sobbing, he did not cry _____."
pre_i04_manner_continuation,preliminary_completion,experimental,4,manner,continuation,manner__neg_continuation,Oğlan okulda sessizce ağladı,_____ ağlamadı,"Oğlan okulda sessizce ağladı, _____ ağlamadı.",The boy cried in the school silently,he did not cry _____,"The boy cried in the school silently, he did not cry _____."
pre_i04_temporal_continuation,preliminary_completion,experimental,4,temporal,continuation,temporal__neg_continuation,Oğlan okulda dün ağladı,_____ ağlamadı,"Oğlan okulda dün ağladı, _____ ağlamadı.",The boy cried in the school yesterday,he did not cry _____,"The boy cried in the school yesterday, he did not cry _____."
pre_i05_ideophone_continuation,preliminary_completion,experimental,5,ideophone,continuation,ideophone__neg_continuation,Öğrenci sınıfta fısır fısır konuştu,_____ konuşmadı,"Öğrenci sınıfta fısır fısır konuştu, _____ konuşmadı.",The student talked in the classroom murmuring,she did not talk _____,"The student talked in the classroom murmuring, she did not talk _____."
pre_i05_manner_continuation,preliminary_completion,experimental,5,manner,continuation,manner__neg_continuation,Öğrenci sınıfta sessizce konuştu,_____ konuşmadı,"Öğrenci sınıfta sessizce konuştu, _____ konuşmadı.",The student talked in the classroom silently,she did not talk _____,"The student talked in the classroom silently, she did not talk _____."
pre_i05_temporal_continuation,preliminary_completion,experimental,5,temporal,continuation,temporal__neg_continuation,Öğrenci sınıfta dersten önce konuştu,_____ konuşmadı,"Öğrenci sınıfta dersten önce konuştu, _____ konuşmadı.",The student talked in the classroom before the lecture,she did not talk _____,"The student talked in the classroom before the lecture, she did not talk _____."
pre_i06_ideophone_continuation,preliminary_completion,experimental,6,ideophone,continuation,ideophone__neg_continuation,Tekne denizin ortasında cayır cayır yandı,_____ yanmadı,"Tekne denizin ortasında cayır cayır yandı, _____ yanmadı.",The boat burned in the middle of the sea fiercely,it did not burn _____,"The boat burned in the middle of the sea fiercely, it did not burn _____."
