trial_id,experiment,trial_type,item,grammaticality,polarity,condition,stem,verb,sentence,stem_gloss,verb_gloss
exp3_c01_grammatical_affirmative,experiment_3,catch,1,grammatical,affirmative,grammatical__affirmative,"Sekreter, evrakları büyük kolilere",koydu,"Sekreter, evrakları büyük kolilere koydu.",secretary documents big boxes,put
exp3_c01_grammatical_negative,experiment_3,catch,1,grammatical,negative,grammatical__negative,"Sekreter, evrakları büyük kolilere",koymadı,"Sekreter, evrakları büyük kolilere koymadı.",secretary documents big boxes,put-NOT
exp3_c02_grammatical_affirmative,experiment_3,catch,2,grammatical,affirmative,grammatical__affirmative,"Bakkal, yeni ürünleri raflara",yerleştirdi,"Bakkal, yeni ürünleri raflara yerleştirdi.",grocer new products shelves,put
exp3_c02_grammatical_negative,experiment_3,catch,2,grammatical,negative,grammatical__negative,"Bakkal, yeni ürünleri raflara",yerleştirmedi,"Bakkal, yeni ürünleri raflara yerleştirmedi.",grocer new products shelves,put-NOT
exp3_c03_grammatical_affirmative,experiment_3,catch,3,grammatical,affirmative,grammatical__affirmative,"Kasap, sokak kedilerine mama",verdi,"Kasap, sokak kedilerine mama verdi.",butcher stray cats food,give
exp3_c03_grammatical_negative,experiment_3,catch,3,grammatical,negative,grammatical__negative,"Kasap, sokak kedilerine mama",vermedi,"Kasap, sokak kedilerine mama vermedi.",butcher stray cats food,give-NOT
exp3_c04_grammatical_affirmative,experiment_3,catch,4,grammatical,affirmative,grammatical__affirmative,"Patron, çalışanlarının hediye ettiği kazağı",giyindi,"Patron, çalışanlarının hediye ettiği kazağı giyindi.",boss the pullover that the employees gave,wear
exp3_c04_grammatical_negative,experiment_3,catch,4,grammatical,negative,grammatical__negative,"Patron, çalışanlarının hediye ettiği kazağı",giyinmedi,"Patron, çalışanlarının hediye ettiği kazağı giyinmedi.",boss the pullover that the employees gave,wear-NOT
exp3_c05_ungrammatical_affirmative,experiment_3,catch,5,ungrammatical,affirmative,ungrammatical__affirmative,"Masa, rüyadan zangırdayarak",götürdü,"Masa, rüyadan zangırdayarak götürdü.",table dream nonce.word,bring
exp3_c05_ungrammatical_negative,experiment_3,catch,5,ungrammatical,negative,ungrammatical__negative,"Masa, rüyadan zangırdayarak",götürmedi,"Masa, rüyadan zangırdayarak götürmedi.",table dream nonce.word,bring-NOT
exp3_c06_ungrammatical_affirmative,experiment_3,catch,6,ungrammatical,affirmative,ungrammatical__affirmative,"Çiçek, ofisle haldır haldır",bozukuyor,"Çiçek, ofisle haldır haldır bozukuyor.",flower office fast and noisily,nonce.word
exp3_c06_ungrammatical_negative,experiment_3,catch,6,ungrammatical,negative,ungrammatical__negative,"Çiçek, ofisle haldır haldır",bozukmuyor,"Çiçek, ofisle haldır haldır bozukmuyor.",flower office fast and noisily,nonce.word-NOT
exp3_c07_ungrammatical_affirmative,experiment_3,catch,7,ungrammatical,affirmative,ungrammatical__affirmative,"Sepet, camla pırıldatarak",yedi,"Sepet, camla pırıldatarak yedi.",basket glass shimmering,eat
exp3_c07_ungrammatical_negative,experiment_3,catch,7,ungrammatical,negative,ungrammatical__negative,"Sepet, camla pırıldatarak",yemedi,"Sepet, camla pırıldatarak yemedi.",basket glass shimmering,eat-NOT
exp3_c08_ungrammatical_affirmative,experiment_3,catch,8,ungrammatical,affirmative,ungrammatical__affirmative,"İnek, kelebekte savrula savrula",indi,"İnek, kelebekte savrula savrula indi.",cow butterfly drifting,descend
exp3_c08_ungrammatical_negative,experiment_3,catch,8,ungrammatical,negative,ungrammatical__negative,"İnek, kelebekte savrula savrula",inmedi,"İnek, kelebekte savrula savrula inmedi.",cow butterfly drifting,descend-NOT
