"study_id","participant_id","trial","rating","scenario","trial_type","negation_position","adverb_type","ideophone_form","continuation_type","condition","word_order","included","exclusion_reason"
"exp1","exp1_001","1 C_Aff_Red_Red_50",5,"1","experimental","second_clause","ideophone","reduplication","match","match","canonical",TRUE,""
"exp1","exp1_001","1 C_CT_Aff_Good_46",5,"1","catch","second_clause",,,,"felicitous","canonical",TRUE,""
"exp1","exp1_001","1 C_F_Aff_InDirObj_42",5,"1","filler","second_clause",,,,"indirect_object","canonical",TRUE,""
"exp1","exp1_001","1 C_CT_Aff_Good_45",5,"1","catch","second_clause",,,,"felicitous","canonical",TRUE,""
"exp1","exp1_001","1 C_F_Aff_DirObj",5,"1","filler","second_clause",,,,"direct_object","canonical",TRUE,""
"exp1","exp1_001","2 C_F_Aff_DirObj_44",5,"2","filler","second_clause",,,,"direct_object","canonical",TRUE,""
"exp1","exp1_001","2 C_F_Aff_InDirObj_43",5,"2","filler","second_clause",,,,"indirect_object","canonical",TRUE,""
"exp1","exp1_001","2 C_Neg_Time_Time",5,"2","experimental","first_clause","temporal",,"match","match","canonical",TRUE,""
"exp1","exp1_001","3 C_Aff_Red_Loc",5,"3","experimental","second_clause","ideophone","reduplication","mismatch","mismatch","canonical",TRUE,""
"exp1","exp1_001","3 C_Aff_Red_Red",5,"3","experimental","second_clause","ideophone","reduplication","match","match","canonical",TRUE,""
"exp1","exp1_001","3 C_F_Neg_DirObj_41",5,"3","filler","first_clause",,,,"direct_object","canonical",TRUE,""
"exp1","exp1_001","3 C_F_Neg_InDirObj_40",5,"3","filler","first_clause",,,,"indirect_object","canonical",TRUE,""
"exp1","exp1_001","3 C_CT_Neg_Good",5,"3","catch","first_clause",,,,"felicitous","canonical",TRUE,""
"exp1","exp1_001","4 C_Aff_Time_Time",5,"4","experimental","second_clause","temporal",,"match","match","canonical",TRUE,""
"exp1","exp1_001","4 C_CT_Neg_Good_39",5,"4","catch","first_clause",,,,"felicitous","canonical",TRUE,""
"exp1","exp1_001","4 C_F_Neg_DirObj_51",5,"4","filler","first_clause",,,,"direct_object","canonical",TRUE,""
"exp1","exp1_001","4 C_F_Neg_InDirObj",5,"4","filler","first_clause",,,,"indirect_object","canonical",TRUE,""
"exp1","exp1_001","5 C_Neg_Manner_Manne",5,"5","experimental","first_clause","manner",,"match","match","canonical",TRUE,""
"exp1","exp1_001","6 C_Neg_Red_Red",5,"6","experimental","first_clause","ideophone","reduplication","match","match","canonical",TRUE,""
"exp1","exp1_001","1 C_Aff_Red_Loc_49",4,"1","experimental","second_clause","ideophone","reduplication","mismatch","mismatch","canonical",TRUE,""
"exp1","exp1_001","5 C_Neg_Manner_Loc",4,"5","experimental","first_clause","manner",,"mismatch","mismatch","canonical",TRUE,""
"exp1","exp1_001","6 C_Neg_Red_Loc",4,"6","experimental","first_clause","ideophone","reduplication","mismatch","mismatch","canonical",TRUE,""
"exp1","exp1_001","2 C_Neg_Time_Loc",3,"2","experimental","first_clause","temporal",,"mismatch","mismatch","canonical",TRUE,""
"exp1","exp1_001","4 C_Aff_Time_Loc",3,"4","experimental","second_clause","temporal",,"mismatch","mismatch","canonical",TRUE,""
"exp1","exp1_001","2 C_CT_Aff_Bad_48",1,"2","catch","second_clause",,,,"infelicitous","canonical",TRUE,""
"exp1","exp1_001","2 C_CT_Aff_Bad_47",1,"2","catch","second_clause",,,,"infelicitous","canonical",TRUE,""
"exp1","exp1_001","3 C_CT_Neg_Bad_37",1,"3","catch","first_clause",,,,"infelicitous","canonical",TRUE,""
"exp1","exp1_001","4 C_CT_Neg_Bad_38",1,"4","catch","first_clause",,,,"infelicitous","canonical",TRUE,""
"exp1","exp1_002","1 C_CT_Aff_Good_22",5,"1","catch","second_clause",,,,"felicitous","canonical",TRUE,""
"exp1","exp1_002","1 C_CT_Aff_Good",5,"1","catch","second_clause",,,,"felicitous","canonical",TRUE,""
