trial_id,experiment,trial_type,item,source_adverb_type,negation_position,continuation_type,condition,first_clause,continuation,sentence,first_clause_en,continuation_en,sentence_en
exp1_i01_ideophone_continuation_target_adverbial,experiment_1,experimental,1,ideophone,continuation,target_adverbial,ideophone__neg_continuation__target_adverbial,Adam odasında horul horul uyudu,sessizce uyumadı,"Adam odasında horul horul uyudu, sessizce uyumadı.",The man slept in his room huffing and puffing,he did not sleep silently,"The man slept in his room huffing and puffing, he did not sleep silently."
exp1_i01_ideophone_continuation_locative_adverbial,experiment_1,experimental,1,ideophone,continuation,locative_adverbial,ideophone__neg_continuation__locative_adverbial,Adam odasında horul horul uyudu,salonda uyumadı,"Adam odasında horul horul uyudu, salonda uyumadı.",The man slept in his room huffing and puffing,he did not sleep in the living room,"The man slept in his room huffing and puffing, he did not sleep in the living room."
exp1_i01_manner_continuation_target_adverbial,experiment_1,experimental,1,manner,continuation,target_adverbial,manner__neg_continuation__target_adverbial,Adam odasında güçlükle uyudu,kolayca uyumadı,"Adam odasında güçlükle uyudu, kolayca uyumadı.",The man slept in his room with difficulty,he did not sleep easily,"The man slept in his room with difficulty, he did not sleep easily."
exp1_i01_manner_continuation_locative_adverbial,experiment_1,experimental,1,manner,continuation,locative_adverbial,manner__neg_continuation__locative_adverbial,Adam odasında güçlükle uyudu,salonda uyumadı,"Adam odasında güçlükle uyudu, salonda uyumadı.",The man slept in his room with difficulty,he did not sleep in the living room,"The man slept in his room with difficulty, he did not sleep in the living room."
exp1_i01_temporal_continuation_target_adverbial,experiment_1,experimental,1,temporal,continuation,target_adverbial,temporal__neg_continuation__target_adverbial,Adam odasında sabah uyudu,gece uyumadı,"Adam odasında sabah uyudu, gece uyumadı.",The man slept in his room in the morning,he did not sleep at night,"The man slept in his room in the morning, he did not sleep at night."
exp1_i01_temporal_continuation_locative_adverbial,experiment_1,experimental,1,temporal,continuation,locative_adverbial,temporal__neg_continuation__locative_adverbial,Adam odasında sabah uyudu,salonda uyumadı,"Adam odasında sabah uyudu, salonda uyumadı.",The man slept in his room in the morning,he did not sleep in the living room,"The man slept in his room in the morning, he did not sleep in the living room."
exp1_i02_ideophone_continuation_target_adverbial,experiment_1,experimental,2,ideophone,continuation,target_adverbial,ideophone__neg_continuation__target_adverbial,At arabası toprak yolda tıngır tıngır ilerledi,sessizce ilerlemedi,"At arabası toprak yolda tıngır tıngır ilerledi, sessizce ilerlemedi.",The horse cart moved on the dirt road rattling,it did not move silently,"The horse cart moved on the dirt road rattling, it did not move silently."
exp1_i02_ideophone_continuation_locative_adverbial,experiment_1,experimental,2,ideophone,continuation,locative_adverbial,ideophone__neg_continuation__locative_adverbial,At arabası toprak yolda tıngır tıngır ilerledi,asfalt yolda ilerlemedi,"At arabası toprak yolda tıngır tıngır ilerledi, asfalt yolda ilerlemedi.",The horse cart moved on the dirt road rattling,it did not move on the paved road,"The horse cart moved on the dirt road rattling, it did not move on the paved road."
exp1_i02_manner_continuation_target_adverbial,experiment_1,experimental,2,manner,continuation,target_adverbial,manner__neg_continuation__target_adverbial,At arabası toprak yolda hızla ilerledi,yavaşça ilerlemedi,"At arabası toprak yolda hızla ilerledi, yavaşça ilerlemedi.",The horse cart moved on the dirt road fast,it did not move slowly,"The horse cart moved on the dirt road fast, it did not move slowly."
exp1_i02_manner_continuation_locative_adverbial,experiment_1,experimental,2,manner,continuation,locative_adverbial,manner__neg_continuation__locative_adverbial,At arabası toprak yolda hızla ilerledi,asfalt yolda ilerlemedi,"At arabası toprak yolda hızla ilerledi, asfalt yolda ilerlemedi.",The horse cart moved on the dirt road fast,it did not move on the paved road,"The horse cart moved on the dirt road fast, it did not move on the paved road."
exp1_i02_temporal_continuation_target_adverbial,experiment_1,experimental,2,temporal,continuation,target_adverbial,temporal__neg_continuation__target_adverbial,At arabası toprak yolda akşam vakti ilerledi,gündüz ilerlemedi,"At arabası toprak yolda akşam vakti ilerledi, gündüz ilerlemedi.",The horse cart moved on the dirt road in the evening,it did not move in the daytime,"The horse cart moved on the dirt road in the evening, it did not move in the daytime."
exp1_i02_temporal_continuation_locative_adverbial,experiment_1,experimental,2,temporal,continuation,locative_adverbial,temporal__neg_continuation__locative_adverbial,At arabası toprak yolda akşam vakti ilerledi,asfalt yolda ilerlemedi,"At arabası toprak yolda akşam vakti ilerledi, asfalt yolda ilerlemedi.",The horse cart moved on the dirt road in the evening,it did not move on the paved road,"The horse cart moved on the dirt road in the evening, it did not move on the paved road."
exp1_i03_ideophone_continuation_target_adverbial,experiment_1,experimental,3,ideophone,continuation,target_adverbial,ideophone__neg_continuation__target_adverbial,Su ocakta fokur fokur kaynadı,sessizce kaynamadı,"Su ocakta fokur fokur kaynadı, sessizce kaynamadı.",The water boiled on the stove bubbling,it did not boil silently,"The water boiled on the stove bubbling, it did not boil silently."
exp1_i03_ideophone_continuation_locative_adverbial,experiment_1,experimental,3,ideophone,continuation,locative_adverbial,ideophone__neg_continuation__locative_adverbial,Su ocakta fokur fokur kaynadı,sobada kaynamadı,"Su ocakta fokur fokur kaynadı, sobada kaynamadı.",The water boiled on the stove bubbling,it did not boil on the burner,"The water boiled on the stove bubbling, it did not boil on the burner."
exp1_i03_manner_continuation_target_adverbial,experiment_1,experimental,3,manner,continuation,target_adverbial,manner__neg_continuation__target_adverbial,Su ocakta çabucak kaynadı,yavaşça kaynamadı,"Su ocakta çabucak kaynadı, yavaşça kaynamadı.",The water boiled on the stove quickly,it did not boil slowly,"The water boiled on the stove quickly, it did not boil slowly."
exp1_i03_manner_continuation_locative_adverbial,experiment_1,experimental,3,manner,continuation,locative_adverbial,manner__neg_continuation__locative_adverbial,Su ocakta çabucak kaynadı,sobada kaynamadı,"Su ocakta çabucak kaynadı, sobada kaynamadı.",The water boiled on the stove quickly,it did not boil on the burner,"The water boiled on the stove quickly, it did not boil on the burner."
exp1_i03_temporal_continuation_target_adverbial,experiment_1,experimental,3,temporal,continuation,target_adverbial,temporal__neg_continuation__target_adverbial,Su ocakta biraz önce kaynadı,şimdi kaynamadı,"Su ocakta biraz önce kaynadı, şimdi kaynamadı.",The water boiled on the stove a little while ago,it did not boil now,"The water boiled on the stove a little while ago, it did not boil now."
