trial_id,experiment,trial_type,item,root_type,adverb_type,polarity,condition,subject,argument_or_adjunct,target,verb,sentence,subject_gloss,argument_gloss,target_gloss,verb_gloss
exp3_i01_ideophonic_converbial_affirmative,experiment_3,experimental,1,ideophonic,converbial,affirmative,ideophonic__converbial__affirmative,Çocuk,sütü,lıkırdatarak,içti,Çocuk sütü lıkırdatarak içti.,child,milk,gurgling,drink
exp3_i01_ideophonic_converbial_negative,experiment_3,experimental,1,ideophonic,converbial,negative,ideophonic__converbial__negative,Çocuk,sütü,lıkırdatarak,içmedi,Çocuk sütü lıkırdatarak içmedi.,child,milk,gurgling,drink-NOT
exp3_i01_ideophonic_reduplication_affirmative,experiment_3,experimental,1,ideophonic,reduplication,affirmative,ideophonic__reduplication__affirmative,Çocuk,sütü,lıkır lıkır,içti,Çocuk sütü lıkır lıkır içti.,child,milk,gurgling,drink
exp3_i01_ideophonic_reduplication_negative,experiment_3,experimental,1,ideophonic,reduplication,negative,ideophonic__reduplication__negative,Çocuk,sütü,lıkır lıkır,içmedi,Çocuk sütü lıkır lıkır içmedi.,child,milk,gurgling,drink-NOT
exp3_i01_ideophonic_manner_affirmative,experiment_3,experimental,1,ideophonic,manner,affirmative,ideophonic__manner__affirmative,Çocuk,sütü,yavaşça,içti,Çocuk sütü yavaşça içti.,child,milk,slowly,drink
exp3_i01_ideophonic_manner_negative,experiment_3,experimental,1,ideophonic,manner,negative,ideophonic__manner__negative,Çocuk,sütü,yavaşça,içmedi,Çocuk sütü yavaşça içmedi.,child,milk,slowly,drink-NOT
exp3_i01_ideophonic_temporal_affirmative,experiment_3,experimental,1,ideophonic,temporal,affirmative,ideophonic__temporal__affirmative,Çocuk,sütü,sabah,içti,Çocuk sütü sabah içti.,child,milk,morning,drink
exp3_i01_ideophonic_temporal_negative,experiment_3,experimental,1,ideophonic,temporal,negative,ideophonic__temporal__negative,Çocuk,sütü,sabah,içmedi,Çocuk sütü sabah içmedi.,child,milk,morning,drink-NOT
exp3_i02_ideophonic_converbial_affirmative,experiment_3,experimental,2,ideophonic,converbial,affirmative,ideophonic__converbial__affirmative,Görevli,balkonu,foşurdatarak,yıkadı,Görevli balkonu foşurdatarak yıkadı.,officer,balcony,splashing,wash
exp3_i02_ideophonic_converbial_negative,experiment_3,experimental,2,ideophonic,converbial,negative,ideophonic__converbial__negative,Görevli,balkonu,foşurdatarak,yıkamadı,Görevli balkonu foşurdatarak yıkamadı.,officer,balcony,splashing,wash-NOT
