trial_id,experiment,trial_type,item,word_order,negation_position,continuation_type,condition,first_clause,continuation,sentence,first_clause_en,continuation_en,sentence_en
exp1_f01_continuation_direct_object,experiment_1,filler,1,indirect_object_before_direct_object,continuation,direct_object,neg_continuation__direct_object,Sekreter kolilere eski evrakları koydu,önemli raporları koymadı,"Sekreter kolilere eski evrakları koydu, önemli raporları koymadı.",The secretary put the old files into the boxes,he did not put the important reports,"The secretary put the old files into the boxes, he did not put the important reports."
exp1_f01_continuation_indirect_object,experiment_1,filler,1,indirect_object_before_direct_object,continuation,indirect_object,neg_continuation__indirect_object,Sekreter kolilere eski evrakları koydu,çekmeceye koymadı,"Sekreter kolilere eski evrakları koydu, çekmeceye koymadı.",The secretary put the old files into the boxes,he did not put into the drawer,"The secretary put the old files into the boxes, he did not put into the drawer."
exp1_f02_continuation_direct_object,experiment_1,filler,2,indirect_object_before_direct_object,continuation,direct_object,neg_continuation__direct_object,Adam kuzenine davetiyeleri gönderdi,mektupları göndermedi,"Adam kuzenine davetiyeleri gönderdi, mektupları göndermedi.",The man sent the invitations to his cousin,he did not send the letters,"The man sent the invitations to his cousin, he did not send the letters."
exp1_f02_continuation_indirect_object,experiment_1,filler,2,indirect_object_before_direct_object,continuation,indirect_object,neg_continuation__indirect_object,Adam kuzenine davetiyeleri gönderdi,teyzesine göndermedi,"Adam kuzenine davetiyeleri gönderdi, teyzesine göndermedi.",The man sent the invitations to his cousin,he did not send to his aunt,"The man sent the invitations to his cousin, he did not send to his aunt."
exp1_f03_continuation_direct_object,experiment_1,filler,3,indirect_object_before_direct_object,continuation,direct_object,neg_continuation__direct_object,Kasap sokaktaki kedilere yaş mamaları verdi,kuru ekmekleri vermedi,"Kasap sokaktaki kedilere yaş mamaları verdi, kuru ekmekleri vermedi.",The butcher gave the wet food to the cats on the street,she did not give the stale bread,"The butcher gave the wet food to the cats on the street, she did not give the stale bread."
exp1_f03_continuation_indirect_object,experiment_1,filler,3,indirect_object_before_direct_object,continuation,indirect_object,neg_continuation__indirect_object,Kasap sokaktaki kedilere yaş mamaları verdi,barınaktaki kedilere vermedi,"Kasap sokaktaki kedilere yaş mamaları verdi, barınaktaki kedilere vermedi.",The butcher gave the wet food to the cats on the street,she did not give to the cats in the shelter,"The butcher gave the wet food to the cats on the street, she did not give to the cats in the shelter."
exp1_f04_continuation_direct_object,experiment_1,filler,4,indirect_object_before_direct_object,continuation,direct_object,neg_continuation__direct_object,Bakkal raflara deterjanları yerleştirdi,sıvı yağları yerleştirmedi,"Bakkal raflara deterjanları yerleştirdi, sıvı yağları yerleştirmedi.",The grocer placed the detergents on the shelves,she did not place the oils,"The grocer placed the detergents on the shelves, she did not place the oils."
exp1_f04_continuation_indirect_object,experiment_1,filler,4,indirect_object_before_direct_object,continuation,indirect_object,neg_continuation__indirect_object,Bakkal raflara deterjanları yerleştirdi,tezgahın altına yerleştirmedi,"Bakkal raflara deterjanları yerleştirdi, tezgahın altına yerleştirmedi.",The grocer placed the detergents on the shelves,she did not place under the counter,"The grocer placed the detergents on the shelves, she did not place under the counter."
exp1_f01_first_clause_direct_object,experiment_1,filler,1,indirect_object_before_direct_object,first_clause,direct_object,neg_first_clause__direct_object,Sekreter kolilere eski evrakları koymadı,önemli raporları koydu,"Sekreter kolilere eski evrakları koymadı, önemli raporları koydu.",The secretary did not put the old files into the boxes,he put the important reports,"The secretary did not put the old files into the boxes, he put the important reports."
exp1_f01_first_clause_indirect_object,experiment_1,filler,1,indirect_object_before_direct_object,first_clause,indirect_object,neg_first_clause__indirect_object,Sekreter kolilere eski evrakları koymadı,çekmeceye koydu,"Sekreter kolilere eski evrakları koymadı, çekmeceye koydu.",The secretary did not put the old files into the boxes,he put into the drawer,"The secretary did not put the old files into the boxes, he put into the drawer."
