variable,applies_to,data_type,allowed_values,units,missing_values,description,derivation
study_id,all processed datasets,character,exp1 | exp2 | exp3,not applicable,not permitted,Short identifier for the experiment.,Assigned by code/scripts/02_prepare_processed_data.R.
participant_id,all processed datasets,character,study-specific anonymous identifier such as exp1_001,not applicable,not permitted,Anonymous participant identifier unique within an experiment.,Generated from Response_ID separately within each experiment; original identifiers are not retained in processed files.
trial,all processed datasets,character,study-specific trial code,not applicable,not permitted,Normalized archival trial label used to derive experimental conditions.,Copied from Trial after whitespace and encoding normalization.
rating,Experiments I and II,integer,1 | 2 | 3 | 4 | 5,five-point acceptability scale,not permitted,Participant naturalness rating for the trial; higher values indicate greater acceptability.,Copied from Rating in the organized workbook.
rating,Experiment III,numeric,0 through 100 inclusive,continuous acceptability scale,not permitted,Participant naturalness rating for the trial; higher values indicate greater acceptability.,Copied from Rating in the organized workbook.
scenario,Experiments I and II,integer stored as character,1 through 6,scenario identifier,not expected,Stimulus-scenario identifier.,Extracted from the leading integer in trial.
scenario,Experiment III,integer stored as character,1 through 8,scenario identifier,blank for catch trials,Stimulus-scenario identifier for experimental trials.,Extracted from trial for experimental trials only.
trial_type,Experiments I and II,categorical,experimental | catch | filler,not applicable,not permitted,Role of the observation in the study design.,Derived from CT and _F_ markers in trial.
trial_type,Experiment III,categorical,experimental | catch,not applicable,not permitted,Role of the observation in the study design.,Trials beginning with Filler_ are coded as catch; all others are experimental.
included,all processed datasets,logical,TRUE | FALSE,not applicable,not permitted,Whether the participant is included in analysis.,"TRUE for all Experiment I and II rows; for Experiment III, TRUE when attention_check_failures is less than 2."
exclusion_reason,all processed datasets,character,failed_two_or_more_affirmative_catch_trials,not applicable,blank for included participants,Reason a participant is excluded from analysis.,Blank for Experiments I and II; assigned from Experiment III attention-check results.
negation_position,Experiments I and II,categorical,first_clause | second_clause,not applicable,not expected,Clause containing negation in the two-clause contrastive construction.,Neg trials are first_clause; Aff trials are second_clause.
adverb_type,Experiments I and II,categorical,manner | temporal | ideophone,not applicable,blank for catch and filler trials,Target adverbial class in experimental trials.,"Derived from Manner, Time, and Red markers in trial."
ideophone_form,Experiments I and II,categorical,reduplication,not applicable,blank unless adverb_type is ideophone,Morphological form of the ideophonic target.,Assigned as reduplication for ideophone trials.
continuation_type,Experiments I and II,categorical,match | mismatch,not applicable,blank for catch and filler trials,Whether the continuation matches the target event interpretation.,Experimental trials containing Loc are mismatch; other experimental trials are match.
condition,Experiments I and II,categorical,match | mismatch | felicitous | infelicitous | direct_object | indirect_object,not applicable,not expected,"Unified condition label across experimental, catch, and filler observations.",Uses continuation_type for experimental trials and trial-code markers for catch and filler trials.
word_order,Experiments I and II,categorical,canonical | noncanonical,not applicable,not permitted,Constituent-order manipulation distinguishing the two experiments.,Assigned canonical for Experiment I and noncanonical for Experiment II.
polarity,Experiment III,categorical,affirmative | negative,not applicable,not expected,Sentence polarity.,Derived from _Aff_ and _Neg_ markers in trial.
iconicity_condition,Experiment III,categorical,ideophone | nonideophone,not applicable,blank for catch trials,Whether the experimental stimulus belongs to the ideophonic or non-ideophonic stimulus set.,Derived from _Ide_ and NonIde markers in trial.
adverb_type,Experiment III,categorical,manner | temporal | reduplication | converbial,not applicable,blank for catch trials,Adverbial form used in an experimental trial.,"Derived from RegMod, Cont, Red, and Cvb markers in trial."
semantic_class,Experiment III,categorical,manner | temporal,not applicable,blank for catch trials,Broad semantic class of the target adverbial.,"Temporal adverbs are temporal; manner, reduplication, and converbial forms are manner."
morphological_integration,Experiment III,categorical,low | high,not applicable,blank unless adverb_type is reduplication or converbial,Relative degree of morphological integration for ideophonic forms.,Reduplication is coded low and converbial is coded high.
catch_grammaticality,Experiment III,categorical,grammatical | ungrammatical,not applicable,blank for experimental trials,Intended grammaticality of a catch trial.,Derived from _Gr_ and _UnGr_ markers in trial.
attention_check_failure,Experiment III,logical,TRUE | FALSE,not applicable,not permitted,Whether an observation constitutes an affirmative catch-trial failure.,TRUE for an affirmative ungrammatical catch rated above 50 or an affirmative grammatical catch rated below 50.
attention_check_failures,Experiment III,integer,non-negative integer,failed catch trials per participant,not permitted,"Participant-level count of affirmative catch-trial failures, repeated on every participant row.",Sum of attention_check_failure within participant.
