"study_id","participant_id","trial","rating","scenario","trial_type","negation_position","adverb_type","ideophone_form","continuation_type","condition","word_order","included","exclusion_reason"
"exp2","exp2_001","2 NC_F_Neg_DirObj_8",1,"2","filler","first_clause",,,,"direct_object","noncanonical",TRUE,""
"exp2","exp2_001","2 NC_CT_Neg_Bad_17",1,"2","catch","first_clause",,,,"infelicitous","noncanonical",TRUE,""
"exp2","exp2_001","2 NC_CT_Neg_Bad_16",1,"2","catch","first_clause",,,,"infelicitous","noncanonical",TRUE,""
"exp2","exp2_001","4 NC_CT_Neg_Bad_10",1,"4","catch","first_clause",,,,"infelicitous","noncanonical",TRUE,""
"exp2","exp2_001","3 NC_Neg_Red_Red",1,"3","experimental","first_clause","ideophone","reduplication","match","match","noncanonical",TRUE,""
"exp2","exp2_001","3 NC_CT_Aff_Bad_13",1,"3","catch","second_clause",,,,"infelicitous","noncanonical",TRUE,""
"exp2","exp2_001","6 NC_Aff_Red_Red",1,"6","experimental","second_clause","ideophone","reduplication","match","match","noncanonical",TRUE,""
"exp2","exp2_001","1 NC_Aff_Time_Time",2,"1","experimental","second_clause","temporal",,"match","match","noncanonical",TRUE,""
"exp2","exp2_001","5 NC_Neg_Time_Loc",2,"5","experimental","first_clause","temporal",,"mismatch","mismatch","noncanonical",TRUE,""
"exp2","exp2_001","3 NC_F_Aff_InDirObj",2,"3","filler","second_clause",,,,"indirect_object","noncanonical",TRUE,""
"exp2","exp2_001","4 NC_Aff_Manner_Mann",2,"4","experimental","second_clause","manner",,"match","match","noncanonical",TRUE,""
"exp2","exp2_001","2 NC_Neg_Manner_Mann",3,"2","experimental","first_clause","manner",,"match","match","noncanonical",TRUE,""
"exp2","exp2_001","2 NC_Neg_Manner_Loc",4,"2","experimental","first_clause","manner",,"mismatch","mismatch","noncanonical",TRUE,""
"exp2","exp2_001","4 NC_F_Neg_DirObj",4,"4","filler","first_clause",,,,"direct_object","noncanonical",TRUE,""
"exp2","exp2_001","1 NC_F_Aff_DirObj_15",4,"1","filler","second_clause",,,,"direct_object","noncanonical",TRUE,""
"exp2","exp2_001","6 NC_Aff_Red_Loc",4,"6","experimental","second_clause","ideophone","reduplication","mismatch","mismatch","noncanonical",TRUE,""
"exp2","exp2_001","4 NC_Aff_Manner_Loc",4,"4","experimental","second_clause","manner",,"mismatch","mismatch","noncanonical",TRUE,""
"exp2","exp2_001","3 NC_Neg_Red_Loc",4,"3","experimental","first_clause","ideophone","reduplication","mismatch","mismatch","noncanonical",TRUE,""
"exp2","exp2_001","3 NC_F_Aff_DirObj_9",4,"3","filler","second_clause",,,,"direct_object","noncanonical",TRUE,""
"exp2","exp2_001","5 NC_Neg_Time_Time",4,"5","experimental","first_clause","temporal",,"match","match","noncanonical",TRUE,""
"exp2","exp2_001","3 NC_CT_Aff_Good_12",5,"3","catch","second_clause",,,,"felicitous","noncanonical",TRUE,""
"exp2","exp2_001","4 NC_CT_Neg_Good_11",5,"4","catch","first_clause",,,,"felicitous","noncanonical",TRUE,""
"exp2","exp2_001","1 NC_CT_Aff_Good_5",5,"1","catch","second_clause",,,,"felicitous","noncanonical",TRUE,""
"exp2","exp2_001","2 NC_F_Neg_InDirObj_7",5,"2","filler","first_clause",,,,"indirect_object","noncanonical",TRUE,""
"exp2","exp2_001","4 NC_F_Neg_InDirObj",5,"4","filler","first_clause",,,,"indirect_object","noncanonical",TRUE,""
"exp2","exp2_001","1 NC_CT_Aff_Good_6",5,"1","catch","second_clause",,,,"felicitous","noncanonical",TRUE,""
"exp2","exp2_001","1 NC_Aff_Time_Loc",5,"1","experimental","second_clause","temporal",,"mismatch","mismatch","noncanonical",TRUE,""
"exp2","exp2_001","1 NC_F_Aff_InDirObj_14",5,"1","filler","second_clause",,,,"indirect_object","noncanonical",TRUE,""
"exp2","exp2_002","4 NC_CT_Aff_Bad",1,"4","catch","second_clause",,,,"infelicitous","noncanonical",TRUE,""
"exp2","exp2_002","3 NC_CT_Neg_Bad",1,"3","catch","first_clause",,,,"infelicitous","noncanonical",TRUE,""
"exp2","exp2_002","2 NC_CT_Aff_Bad",1,"2","catch","second_clause",,,,"infelicitous","noncanonical",TRUE,""
"exp2","exp2_002","2 NC_CT_Aff_Bad_4",1,"2","catch","second_clause",,,,"infelicitous","noncanonical",TRUE,""
"exp2","exp2_002","1 NC_Neg_Manner_Loc",4,"1","experimental","first_clause","manner",,"mismatch","mismatch","noncanonical",TRUE,""
"exp2","exp2_002","2 NC_Neg_Red_Loc",4,"2","experimental","first_clause","ideophone","reduplication","mismatch","mismatch","noncanonical",TRUE,""
